,serum,virus,replicate,concentration,fraction infectivity
0,WT,REGN10933+REGN10987,1,3,-0.002835
1,WT,REGN10933+REGN10987,1,1,-0.002357
2,WT,REGN10933+REGN10987,1,0.3333,-0.002746
3,WT,REGN10933+REGN10987,1,0.1111,0.05027
4,WT,REGN10933+REGN10987,1,0.03704,0.01617
5,WT,REGN10933+REGN10987,1,0.01235,0.1108
6,WT,REGN10933+REGN10987,1,0.004115,0.2035
7,WT,REGN10933+REGN10987,1,0.001372,0.772
8,WT,REGN10933+REGN10987,1,0.0004572,0.5838
9,WT,REGN10933+REGN10987,1,0.0001524,0.8504
10,WT,REGN10933+REGN10987,1,5.081e-05,0.8896
11,WT,REGN10933+REGN10987,1,1.694e-05,0.9562
12,WT,REGN10933+REGN10987,2,3,-0.003498
13,WT,REGN10933+REGN10987,2,1,0.01753
14,WT,REGN10933+REGN10987,2,0.3333,0.02646
15,WT,REGN10933+REGN10987,2,0.1111,0.03076
16,WT,REGN10933+REGN10987,2,0.03704,0.01024
17,WT,REGN10933+REGN10987,2,0.01235,0.1295
18,WT,REGN10933+REGN10987,2,0.004115,0.1338
19,WT,REGN10933+REGN10987,2,0.001372,0.467
20,WT,REGN10933+REGN10987,2,0.0004572,0.6121
21,WT,REGN10933+REGN10987,2,0.0001524,0.5247
22,WT,REGN10933+REGN10987,2,5.081e-05,0.8296
23,WT,REGN10933+REGN10987,2,1.694e-05,1.194
24,WT,CB6,1,3,0.03636
25,WT,CB6,1,1,0.05143
26,WT,CB6,1,0.3333,0.1212
27,WT,CB6,1,0.1111,0.1491
28,WT,CB6,1,0.03704,0.632
29,WT,CB6,1,0.01235,0.5898
30,WT,CB6,1,0.004115,0.5092
31,WT,CB6,1,0.001372,0.7485
32,WT,CB6,1,0.0004572,0.8698
33,WT,CB6,1,0.0001524,0.9426
34,WT,CB6,1,5.081e-05,0.9673
35,WT,CB6,1,1.694e-05,1.062
36,WT,CB6,2,3,0.01962
37,WT,CB6,2,1,0.02997
38,WT,CB6,2,0.3333,0.06718
39,WT,CB6,2,0.1111,0.1811
40,WT,CB6,2,0.03704,0.8197
41,WT,CB6,2,0.01235,0.8536
42,WT,CB6,2,0.004115,0.3894
43,WT,CB6,2,0.001372,0.8963
44,WT,CB6,2,0.0004572,0.6702
45,WT,CB6,2,0.0001524,1.263
46,WT,CB6,2,5.081e-05,0.8821
47,WT,CB6,2,1.694e-05,1.087
48,WT,REGN10933,1,3,0.0002927
49,WT,REGN10933,1,1,0.000518
50,WT,REGN10933,1,0.3333,0.01133
51,WT,REGN10933,1,0.1111,0.05076
52,WT,REGN10933,1,0.03704,0.2456
53,WT,REGN10933,1,0.01235,0.4634
54,WT,REGN10933,1,0.004115,0.6044
55,WT,REGN10933,1,0.001372,0.8817
56,WT,REGN10933,1,0.0004572,1.129
57,WT,REGN10933,1,0.0001524,1.056
58,WT,REGN10933,1,5.081e-05,1.185
59,WT,REGN10933,1,1.694e-05,1.078
60,WT,REGN10933,2,3,-0.0001517
61,WT,REGN10933,2,1,0.0001967
62,WT,REGN10933,2,0.3333,0.01038
63,WT,REGN10933,2,0.1111,0.05887
64,WT,REGN10933,2,0.03704,0.2901
65,WT,REGN10933,2,0.01235,0.5303
66,WT,REGN10933,2,0.004115,0.8576
67,WT,REGN10933,2,0.001372,1.067
68,WT,REGN10933,2,0.0004572,0.9985
69,WT,REGN10933,2,0.0001524,0.9828
70,WT,REGN10933,2,5.081e-05,0.9506
71,WT,REGN10933,2,1.694e-05,1.073
72,WT,REGN10987,1,3,0.02482
73,WT,REGN10987,1,1,0.07726
74,WT,REGN10987,1,0.3333,0.1295
75,WT,REGN10987,1,0.1111,0.2013
76,WT,REGN10987,1,0.03704,0.3134
77,WT,REGN10987,1,0.01235,0.5475
78,WT,REGN10987,1,0.004115,0.8615
79,WT,REGN10987,1,0.001372,0.9455
80,WT,REGN10987,1,0.0004572,0.9164
81,WT,REGN10987,1,0.0001524,0.9712
82,WT,REGN10987,1,5.081e-05,1.041
83,WT,REGN10987,1,1.694e-05,1.099
84,WT,REGN10987,2,3,0.03278
85,WT,REGN10987,2,1,0.07649
86,WT,REGN10987,2,0.3333,0.06497
87,WT,REGN10987,2,0.1111,0.2144
88,WT,REGN10987,2,0.03704,0.4347
89,WT,REGN10987,2,0.01235,0.6091
90,WT,REGN10987,2,0.004115,0.8313
91,WT,REGN10987,2,0.001372,0.9218
92,WT,REGN10987,2,0.0004572,1.004
93,WT,REGN10987,2,0.0001524,0.8913
94,WT,REGN10987,2,5.081e-05,0.917
95,WT,REGN10987,2,1.694e-05,0.8794
