,serum,virus,replicate,concentration,fraction infectivity
0,REGN10933+REGN10987,F486K,1,6,-0.001018
1,REGN10933+REGN10987,F486K,1,2,-0.0007413
2,REGN10933+REGN10987,F486K,1,0.6667,2.325e-05
3,REGN10933+REGN10987,F486K,1,0.2222,0.0007959
4,REGN10933+REGN10987,F486K,1,0.07407,0.00736
5,REGN10933+REGN10987,F486K,1,0.02469,0.03621
6,REGN10933+REGN10987,F486K,1,0.00823,0.07164
7,REGN10933+REGN10987,F486K,1,0.002743,0.08446
8,REGN10933+REGN10987,F486K,1,0.0009145,0.1596
9,REGN10933+REGN10987,F486K,1,0.0003048,0.3376
10,REGN10933+REGN10987,F486K,1,0.0001016,0.4608
11,REGN10933+REGN10987,F486K,1,3.387e-05,0.6837
12,REGN10933+REGN10987,F486K,2,6,-0.0006296
13,REGN10933+REGN10987,F486K,2,2,-0.0004766
14,REGN10933+REGN10987,F486K,2,0.6667,0.002902
15,REGN10933+REGN10987,F486K,2,0.2222,0.005034
16,REGN10933+REGN10987,F486K,2,0.07407,0.003324
17,REGN10933+REGN10987,F486K,2,0.02469,0.05937
18,REGN10933+REGN10987,F486K,2,0.00823,0.07998
19,REGN10933+REGN10987,F486K,2,0.002743,0.104
20,REGN10933+REGN10987,F486K,2,0.0009145,0.1065
21,REGN10933+REGN10987,F486K,2,0.0003048,0.2701
22,REGN10933+REGN10987,F486K,2,0.0001016,0.5686
23,REGN10933+REGN10987,F486K,2,3.387e-05,0.6274
24,REGN10933,F486K,1,6,1.439
25,REGN10933,F486K,1,2,0.8965
26,REGN10933,F486K,1,0.6667,0.9718
27,REGN10933,F486K,1,0.2222,1.187
28,REGN10933,F486K,1,0.07407,0.928
29,REGN10933,F486K,1,0.02469,1.167
30,REGN10933,F486K,1,0.00823,0.9602
31,REGN10933,F486K,1,0.002743,0.8279
32,REGN10933,F486K,1,0.0009145,0.8598
33,REGN10933,F486K,1,0.0003048,1.306
34,REGN10933,F486K,1,0.0001016,1.022
35,REGN10933,F486K,1,3.387e-05,0.9646
36,REGN10933,F486K,2,6,1.467
37,REGN10933,F486K,2,2,1.181
38,REGN10933,F486K,2,0.6667,0.9781
39,REGN10933,F486K,2,0.2222,1.374
40,REGN10933,F486K,2,0.07407,1.36
41,REGN10933,F486K,2,0.02469,1.388
42,REGN10933,F486K,2,0.00823,0.9659
43,REGN10933,F486K,2,0.002743,0.9312
44,REGN10933,F486K,2,0.0009145,0.9764
45,REGN10933,F486K,2,0.0003048,1.179
46,REGN10933,F486K,2,0.0001016,1.139
47,REGN10933,F486K,2,3.387e-05,1.334
48,REGN10987,F486K,1,6,-0.001365
49,REGN10987,F486K,1,2,-0.001368
50,REGN10987,F486K,1,0.6667,-0.0004747
51,REGN10987,F486K,1,0.2222,0.0006747
52,REGN10987,F486K,1,0.07407,0.04667
53,REGN10987,F486K,1,0.02469,0.02871
54,REGN10987,F486K,1,0.00823,0.0435
55,REGN10987,F486K,1,0.002743,0.04664
56,REGN10987,F486K,1,0.0009145,0.1176
57,REGN10987,F486K,1,0.0003048,0.1422
58,REGN10987,F486K,1,0.0001016,0.3801
59,REGN10987,F486K,1,3.387e-05,0.3899
60,REGN10987,F486K,2,6,-0.002057
61,REGN10987,F486K,2,2,-0.001111
62,REGN10987,F486K,2,0.6667,-0.0004883
63,REGN10987,F486K,2,0.2222,0.0006297
64,REGN10987,F486K,2,0.07407,0.02099
65,REGN10987,F486K,2,0.02469,0.04113
66,REGN10987,F486K,2,0.00823,0.003987
67,REGN10987,F486K,2,0.002743,0.04806
68,REGN10987,F486K,2,0.0009145,0.0849
69,REGN10987,F486K,2,0.0003048,0.1967
70,REGN10987,F486K,2,0.0001016,0.4089
71,REGN10987,F486K,2,3.387e-05,0.5814
72,REGN10933+REGN10987,K444Q,1,6,-0.0005103
73,REGN10933+REGN10987,K444Q,1,2,-0.0006056
74,REGN10933+REGN10987,K444Q,1,0.6667,0.0004947
75,REGN10933+REGN10987,K444Q,1,0.2222,0.0006598
76,REGN10933+REGN10987,K444Q,1,0.07407,0.0001207
77,REGN10933+REGN10987,K444Q,1,0.02469,0.01241
78,REGN10933+REGN10987,K444Q,1,0.00823,0.03199
79,REGN10933+REGN10987,K444Q,1,0.002743,0.09551
80,REGN10933+REGN10987,K444Q,1,0.0009145,0.102
81,REGN10933+REGN10987,K444Q,1,0.0003048,0.3047
82,REGN10933+REGN10987,K444Q,1,0.0001016,0.5185
83,REGN10933+REGN10987,K444Q,1,3.387e-05,0.5247
84,REGN10933+REGN10987,K444Q,2,6,-0.0008201
85,REGN10933+REGN10987,K444Q,2,2,-0.0001386
86,REGN10933+REGN10987,K444Q,2,0.6667,0.0002537
87,REGN10933+REGN10987,K444Q,2,0.2222,-8.173e-05
88,REGN10933+REGN10987,K444Q,2,0.07407,0.005509
89,REGN10933+REGN10987,K444Q,2,0.02469,0.0006894
90,REGN10933+REGN10987,K444Q,2,0.00823,0.02114
91,REGN10933+REGN10987,K444Q,2,0.002743,0.07502
92,REGN10933+REGN10987,K444Q,2,0.0009145,0.1661
93,REGN10933+REGN10987,K444Q,2,0.0003048,0.3256
94,REGN10933+REGN10987,K444Q,2,0.0001016,0.7055
95,REGN10933+REGN10987,K444Q,2,3.387e-05,0.9137
96,REGN10933,K444Q,1,6,-0.0004817
97,REGN10933,K444Q,1,2,0.0004606
98,REGN10933,K444Q,1,0.6667,0.000417
99,REGN10933,K444Q,1,0.2222,0.0002033
100,REGN10933,K444Q,1,0.07407,0.000757
101,REGN10933,K444Q,1,0.02469,0.0009101
102,REGN10933,K444Q,1,0.00823,0.0008225
103,REGN10933,K444Q,1,0.002743,0.001046
104,REGN10933,K444Q,1,0.0009145,0.03475
105,REGN10933,K444Q,1,0.0003048,0.1482
106,REGN10933,K444Q,1,0.0001016,0.3583
107,REGN10933,K444Q,1,3.387e-05,0.474
108,REGN10933,K444Q,2,6,-0.0004817
109,REGN10933,K444Q,2,2,0.0005562
110,REGN10933,K444Q,2,0.6667,0.001906
111,REGN10933,K444Q,2,0.2222,0.001263
112,REGN10933,K444Q,2,0.07407,0.01459
113,REGN10933,K444Q,2,0.02469,0.005162
114,REGN10933,K444Q,2,0.00823,0.06777
115,REGN10933,K444Q,2,0.002743,0.03727
116,REGN10933,K444Q,2,0.0009145,0.03605
117,REGN10933,K444Q,2,0.0003048,0.1659
118,REGN10933,K444Q,2,0.0001016,0.2557
119,REGN10933,K444Q,2,3.387e-05,0.3316
120,REGN10987,K444Q,1,6,0.726
121,REGN10987,K444Q,1,2,0.7476
122,REGN10987,K444Q,1,0.6667,0.7918
123,REGN10987,K444Q,1,0.2222,0.738
124,REGN10987,K444Q,1,0.07407,0.9454
125,REGN10987,K444Q,1,0.02469,1.039
126,REGN10987,K444Q,1,0.00823,1.005
127,REGN10987,K444Q,1,0.002743,1.237
128,REGN10987,K444Q,1,0.0009145,0.9199
129,REGN10987,K444Q,1,0.0003048,0.8921
130,REGN10987,K444Q,1,0.0001016,1.253
131,REGN10987,K444Q,1,3.387e-05,0.9143
132,REGN10987,K444Q,2,6,0.8283
133,REGN10987,K444Q,2,2,0.9853
134,REGN10987,K444Q,2,0.6667,1.153
135,REGN10987,K444Q,2,0.2222,1.188
136,REGN10987,K444Q,2,0.07407,1.416
137,REGN10987,K444Q,2,0.02469,1.144
138,REGN10987,K444Q,2,0.00823,1.162
139,REGN10987,K444Q,2,0.002743,1.539
140,REGN10987,K444Q,2,0.0009145,1.283
141,REGN10987,K444Q,2,0.0003048,1.153
142,REGN10987,K444Q,2,0.0001016,1.501
143,REGN10987,K444Q,2,3.387e-05,1.181
144,REGN10933+REGN10987,N439K,1,6,-0.0004181
145,REGN10933+REGN10987,N439K,1,2,0.0001999
146,REGN10933+REGN10987,N439K,1,0.6667,0.0003134
147,REGN10933+REGN10987,N439K,1,0.2222,8.268e-05
148,REGN10933+REGN10987,N439K,1,0.07407,0.0006703
149,REGN10933+REGN10987,N439K,1,0.02469,0.0007199
150,REGN10933+REGN10987,N439K,1,0.00823,0.000375
151,REGN10933+REGN10987,N439K,1,0.002743,0.0428
152,REGN10933+REGN10987,N439K,1,0.0009145,0.1908
153,REGN10933+REGN10987,N439K,1,0.0003048,0.2783
154,REGN10933+REGN10987,N439K,1,0.0001016,0.4732
155,REGN10933+REGN10987,N439K,1,3.387e-05,0.8267
156,REGN10933+REGN10987,N439K,2,6,-0.0003828
157,REGN10933+REGN10987,N439K,2,2,-0.0002215
158,REGN10933+REGN10987,N439K,2,0.6667,1.541e-05
159,REGN10933+REGN10987,N439K,2,0.2222,-8.268e-05
160,REGN10933+REGN10987,N439K,2,0.07407,0.0003436
161,REGN10933+REGN10987,N439K,2,0.02469,0.0003391
162,REGN10933+REGN10987,N439K,2,0.00823,0.0008888
163,REGN10933+REGN10987,N439K,2,0.002743,0.1163
164,REGN10933+REGN10987,N439K,2,0.0009145,0.1745
165,REGN10933+REGN10987,N439K,2,0.0003048,0.33
166,REGN10933+REGN10987,N439K,2,0.0001016,0.4488
167,REGN10933+REGN10987,N439K,2,3.387e-05,0.7493
168,REGN10933,N439K,1,6,-0.001838
169,REGN10933,N439K,1,2,-0.0004966
170,REGN10933,N439K,1,0.6667,-0.0001927
171,REGN10933,N439K,1,0.2222,-0.0003304
172,REGN10933,N439K,1,0.07407,0.000251
173,REGN10933,N439K,1,0.02469,0.0003663
174,REGN10933,N439K,1,0.00823,0.02225
175,REGN10933,N439K,1,0.002743,0.02129
176,REGN10933,N439K,1,0.0009145,0.1195
177,REGN10933,N439K,1,0.0003048,0.2971
178,REGN10933,N439K,1,0.0001016,0.4328
179,REGN10933,N439K,1,3.387e-05,0.5834
180,REGN10933,N439K,2,6,-0.002191
181,REGN10933,N439K,2,2,-0.001287
182,REGN10933,N439K,2,0.6667,-0.0007733
183,REGN10933,N439K,2,0.2222,-0.0005665
184,REGN10933,N439K,2,0.07407,6.551e-05
185,REGN10933,N439K,2,0.02469,0.0002758
186,REGN10933,N439K,2,0.00823,0.05396
187,REGN10933,N439K,2,0.002743,0.03927
188,REGN10933,N439K,2,0.0009145,0.06972
189,REGN10933,N439K,2,0.0003048,0.3846
190,REGN10933,N439K,2,0.0001016,0.3811
191,REGN10933,N439K,2,3.387e-05,0.8155
192,REGN10987,N439K,1,6,0.1127
193,REGN10987,N439K,1,2,0.2
194,REGN10987,N439K,1,0.6667,0.2066
195,REGN10987,N439K,1,0.2222,0.2999
196,REGN10987,N439K,1,0.07407,0.3684
197,REGN10987,N439K,1,0.02469,0.5063
198,REGN10987,N439K,1,0.00823,0.7223
199,REGN10987,N439K,1,0.002743,0.8499
200,REGN10987,N439K,1,0.0009145,0.8082
201,REGN10987,N439K,1,0.0003048,1.026
202,REGN10987,N439K,1,0.0001016,0.928
203,REGN10987,N439K,1,3.387e-05,0.7909
204,REGN10987,N439K,2,6,0.1301
205,REGN10987,N439K,2,2,0.1265
206,REGN10987,N439K,2,0.6667,0.1695
207,REGN10987,N439K,2,0.2222,0.2743
208,REGN10987,N439K,2,0.07407,0.4018
209,REGN10987,N439K,2,0.02469,0.5856
210,REGN10987,N439K,2,0.00823,0.6486
211,REGN10987,N439K,2,0.002743,0.7126
212,REGN10987,N439K,2,0.0009145,0.9242
213,REGN10987,N439K,2,0.0003048,1.106
214,REGN10987,N439K,2,0.0001016,0.9595
215,REGN10987,N439K,2,3.387e-05,0.9974
216,REGN10933+REGN10987,E406W,1,6,0.02535
217,REGN10933+REGN10987,E406W,1,2,0.2326
218,REGN10933+REGN10987,E406W,1,0.6667,0.1391
219,REGN10933+REGN10987,E406W,1,0.2222,0.09579
220,REGN10933+REGN10987,E406W,1,0.07407,0.4952
221,REGN10933+REGN10987,E406W,1,0.02469,0.553
222,REGN10933+REGN10987,E406W,1,0.00823,0.8879
223,REGN10933+REGN10987,E406W,1,0.002743,0.8366
224,REGN10933+REGN10987,E406W,1,0.0009145,0.856
225,REGN10933+REGN10987,E406W,1,0.0003048,0.5342
226,REGN10933+REGN10987,E406W,1,0.0001016,0.7788
227,REGN10933+REGN10987,E406W,1,3.387e-05,0.814
228,REGN10933+REGN10987,E406W,2,6,-0.00168
229,REGN10933+REGN10987,E406W,2,2,0.009223
230,REGN10933+REGN10987,E406W,2,0.6667,0.168
231,REGN10933+REGN10987,E406W,2,0.2222,0.2345
232,REGN10933+REGN10987,E406W,2,0.07407,0.3444
233,REGN10933+REGN10987,E406W,2,0.02469,0.9384
234,REGN10933+REGN10987,E406W,2,0.00823,0.8868
235,REGN10933+REGN10987,E406W,2,0.002743,1.413
236,REGN10933+REGN10987,E406W,2,0.0009145,1.133
237,REGN10933+REGN10987,E406W,2,0.0003048,0.801
238,REGN10933+REGN10987,E406W,2,0.0001016,1.154
239,REGN10933+REGN10987,E406W,2,3.387e-05,0.7058
240,REGN10933,E406W,1,6,0.05783
241,REGN10933,E406W,1,2,0.09587
242,REGN10933,E406W,1,0.6667,0.05668
243,REGN10933,E406W,1,0.2222,0.2201
244,REGN10933,E406W,1,0.07407,0.9918
245,REGN10933,E406W,1,0.02469,0.7956
246,REGN10933,E406W,1,0.00823,1.458
247,REGN10933,E406W,1,0.002743,0.7784
248,REGN10933,E406W,1,0.0009145,0.9682
249,REGN10933,E406W,1,0.0003048,0.9663
250,REGN10933,E406W,1,0.0001016,1.007
251,REGN10933,E406W,1,3.387e-05,1.144
252,REGN10933,E406W,2,6,0.0313
253,REGN10933,E406W,2,2,0.03105
254,REGN10933,E406W,2,0.6667,0.1253
255,REGN10933,E406W,2,0.2222,0.2966
256,REGN10933,E406W,2,0.07407,0.5336
257,REGN10933,E406W,2,0.02469,0.9002
258,REGN10933,E406W,2,0.00823,1.302
259,REGN10933,E406W,2,0.002743,0.9298
260,REGN10933,E406W,2,0.0009145,1.441
261,REGN10933,E406W,2,0.0003048,0.9301
262,REGN10933,E406W,2,0.0001016,1.202
263,REGN10933,E406W,2,3.387e-05,0.7854
264,REGN10987,E406W,1,6,0.3298
265,REGN10987,E406W,1,2,0.3166
266,REGN10987,E406W,1,0.6667,0.2271
267,REGN10987,E406W,1,0.2222,0.3714
268,REGN10987,E406W,1,0.07407,0.8442
269,REGN10987,E406W,1,0.02469,0.5704
270,REGN10987,E406W,1,0.00823,1.038
271,REGN10987,E406W,1,0.002743,1.164
272,REGN10987,E406W,1,0.0009145,1.407
273,REGN10987,E406W,1,0.0003048,1.091
274,REGN10987,E406W,1,0.0001016,1.032
275,REGN10987,E406W,1,3.387e-05,1.333
276,REGN10987,E406W,2,6,0.1719
277,REGN10987,E406W,2,2,0.2528
278,REGN10987,E406W,2,0.6667,0.2653
279,REGN10987,E406W,2,0.2222,0.4231
280,REGN10987,E406W,2,0.07407,0.7455
281,REGN10987,E406W,2,0.02469,0.7035
282,REGN10987,E406W,2,0.00823,0.8316
283,REGN10987,E406W,2,0.002743,0.8767
284,REGN10987,E406W,2,0.0009145,1.208
285,REGN10987,E406W,2,0.0003048,1.255
286,REGN10987,E406W,2,0.0001016,1.483
